GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myfirstproject,default,Main,9,0,0,0,3,0,2,0,2,0
myfirstproject,dao,AthleteDao,0,78,0,6,0,10,0,5,0,2
myfirstproject,dao,FileReader,0,19,0,2,0,5,0,4,0,3
myfirstproject,dao,SportDao,0,46,0,2,0,7,0,3,0,2
myfirstproject,dao,PaysDao,0,48,0,2,0,7,0,3,0,2
myfirstproject,vue,ListAthletesObserver,45,0,5,0,15,0,7,0,4,0
myfirstproject,vue,FrmMain,484,0,0,0,116,0,10,0,10,0
myfirstproject,vue,FrmMain.new WindowAdapter() {...},16,0,0,0,5,0,3,0,3,0
myfirstproject,vue,FrmMain.new ItemListener() {...},11,0,0,0,3,0,2,0,2,0
myfirstproject,vue,ListPaysObserver,0,62,1,6,0,15,1,8,0,5
myfirstproject,vue,ListDisciplinesObserver,0,62,1,6,0,15,1,8,0,5
myfirstproject,vue,FrmMain.new ItemListener() {...},11,0,0,0,3,0,2,0,2,0
myfirstproject,vue,FrmMain.new ItemListener() {...},11,0,0,0,3,0,2,0,2,0
myfirstproject,vue,ListAthletesDetails,96,0,6,0,23,0,7,0,4,0
myfirstproject,domaine,Pays,0,40,0,2,0,7,0,8,0,7
myfirstproject,domaine,Sport,0,33,0,2,0,6,0,7,0,6
myfirstproject,domaine,Athlete,28,28,0,2,6,2,6,3,6,2
myfirstproject,metier,ListDisciplines,0,42,1,3,0,8,1,5,0,4
myfirstproject,metier,ListPays,0,42,1,3,0,8,1,5,0,4
myfirstproject,metier,ListAthletes,0,82,3,5,0,17,3,8,0,7
myfirstproject,metier,Action,0,22,0,0,0,5,0,4,0,4
myfirstproject,metier,ListeObjects,31,56,10,6,3,11,9,7,2,6
